HabHyg,Hip,Hab?,Display Name,Hyg,BayerFlamsteed,Gliese,BD,HD,HR,Proper Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
379,45908,1,Gl 341,33986,,Gl 341,,304636,,,M0V,10.5,1.7,-10.3,-1.3,9.397058913
380,46706,,Gl 352,34619,,Gl 352,,,,,M2,10.5,-3.8,-8.6,4.7,10.69747485
381,48714,1,BD+63°869,36117,,Gl 373,BD+63°869,,,,M2,10.5,-6.4,3.8,7.3,8.897741874
382,56244,1,Gl 431,41566,,Gl 431,,,,,M,10.5,2.9,-9.4,3.5,11.41910715
383,0,,NN 3010,85767,,NN 3010,,,-,,m,10.6,-2.7,7.6,-7,13.40563927
384,33142,1,NN 3412,24066,,NN 3412,,,,,M:,10.6,-8.8,4.1,4.3,10.92610123
385,0,,GJ 1232,87116,,GJ 1232,,,-,,k-m,10.7,6.7,8.3,0.7,13.37637924
386,0,,Gl 766,87152,,Gl 766,,,-,,dM4.5 J,10.7,4.9,9.6,0.2,12.7547484
387,0,,Gl 766 B,87153,,Gl 766 B,,,-,,,10.7,4.9,9.6,0.2,13.2447484
388,54532,1,Gl 413.1,40365,,Gl 413.1,,,,,M:,10.7,0.8,-9,5.8,10.29545107
389,79755,,Gl 617,57404,,Gl 617,,147379,,,M0Vvar,10.7,-1.4,8.1,6.8,8.460782679
390,79762,,Gl 617 B,57409,,Gl 617 B,,,,,M3,10.7,-1.4,8.2,6.8,10.56568117
391,86400,1,BD+03°3465,62193,,Gl 688,BD+03°3465,160346,,,K3V,10.7,9,4.8,3.2,6.370804215
392,109119,,Hip 109119,79318,,,,,,,A2,10.7,3,8.2,-6.2,10.06124568
393,115332,1,NN 4333,83673,,NN 4333,,,,,M:,10.7,-0.6,8.1,-7,11.57405805
394,0,,Gl 47,85841,,Gl 47,,,-,,dM2.5e,10.8,-6.1,9,-0.3,10.65835986
395,0,,GJ 1041 B,85910,,GJ 1041 B,,,-,,m,10.8,-5.5,2.7,-8.8,13.84241474
396,0,,Gl 228 B,86237,,Gl 228 B,,,-,,,10.8,-10.2,-3.5,-0.8,12.33703778
397,0,,Gl 635 B,86951,,Gl 635 B,,,-,,K0 V,10.8,5,6.5,7,5.23375832
398,0,,Gl 660 B,86979,,Gl 660 B,,,-,,,10.8,9.5,3.3,3.9,12.03258588
399,0,,Gl 909 B,87461,,Gl 909 B,,,-,,M2,10.8,-5.1,9.2,2.4,11.53493013
400,10644,,8 Delta Trianguli,7415,8 Delta Trianguli,Gl 92,,13974,660,,G0V,10.8,-7.8,6,-4.6,4.693654605
401,14101,,NN 3192,9887,,NN 3192,,,,,,10.8,-5.3,-2,-9.1,10.80171415
402,29316,1,BD+10°1032,21010,,Gl 228,BD+10°1032,,,,M3,10.8,-10.2,-3.5,-0.8,10.41703778
403,62687,1,BD+00°2989,45943,,Gl 488,BD+00°2989,111631,,,M0.5V,10.8,2.7,-4.3,9.5,8.326569591
404,81693,,40 Zeta Herculis,58736,40 Zeta Herculis,Gl 635,,150680,6212,,F9IV,10.8,5,6.5,7,2.74375832
405,83591,,Gl 653,60141,,Gl 653,,154363,,,K5V,10.8,9.7,2.7,3.8,7.571947709
406,84123,1,Gl 660,60523,,Gl 660,,,,,G,10.8,9.5,3.3,3.9,11.88258588
407,117712,,Gl 909,85322,,Gl 909,,223778,9038,,K3V,10.8,-5.1,9.2,2.4,6.234930126
408,0,,NN 3928,86892,,NN 3928,,,-,,m,10.9,3.9,5.8,8.3,13.49893914
409,0,,GJ 1236,87133,,GJ 1236,,,-,,m,10.9,8,7.4,-0.7,12.15710547
410,0,,NN 4281,87362,,NN 4281,,,-,,M6.5,10.9,4.3,4.8,-8.8,16.95657756
411,10138,,Gl 86,7059,,Gl 86,,13445,637,,K0V,10.9,0.5,-5.1,-9.6,5.930188433
412,16536,1,Gl 145,11607,,Gl 145,,,,,,10.9,-2,-6.2,-8.7,11.30011896
413,37217,1,NN 3459,27216,,NN 3459,,,,,M2,10.9,-5.9,-9.1,0.1,11.5224767
414,57757,,5 Beta Virginis,42598,5 Beta Virginis,Gl 449,,102870,4540,,F8V,10.9,0,-5.3,9.5,3.422793679
415,66459,1,BD+36°2393,48454,,Gl 519,BD+36°2393,,,,M9,10.9,0.6,2.4,10.6,8.85232023
416,0,,GJ 1004,85768,,GJ 1004,,,-,,DA8,11,-4.8,9.6,-2.3,14.14803644
417,0,,NN 3210,86021,,NN 3210,,,-,,DZ7,11,-0.1,-6.7,-8.7,14.54520696
418,0,,GJ 1086,86217,,GJ 1086,,,-,,DQP8,11,-9.7,-4.7,-2.6,14.3332429
419,0,,Gl 545,86803,,Gl 545,,,-,,M4,11,6.8,-3,8.1,12.69759188
420,0,,GJ 1238,87137,,GJ 1238,,,-,,m+,11,-3,9.6,4.5,15.15803644
421,57050,1,GJ 1148,42131,,GJ 1148,,,,,M5,11,-3.7,1.3,10.3,11.68707857
422,82257,,GJ 1206,59154,,GJ 1206,,,,,DA,11,0.2,8.6,6.9,12.02830685
423,0,,Gl 63,85889,,Gl 63,,,-,,dM3,11.1,-7,8.5,-1,10.96843875
424,0,,NN 3140,85932,,NN 3140,,,-,,dM4,11.1,-6.7,3.6,-8.1,12.49121255
425,0,,NN 3396,86250,,NN 3396,,,-,,m,11.1,-10.7,1.3,2.7,14.60121255
426,0,,NN 3592,86501,,NN 3592,,,-,,DZ9,11.1,2.4,-10.9,0.1,14.87121255
427,0,,NN 4078,87091,,NN 4078,,,-,,m,11.1,9.6,-3.8,-4.2,12.47121255
428,0,,GJ 1277,87396,,GJ 1277,,,-,,M4,11.1,5.7,-3.9,-8.7,13.85121255
429,3093,1,54 Piscium,2184,54 Piscium,Gl 27,BD+20°85,3651,166,,K0V,11.1,-4.1,7.3,-7.4,5.621936251
430,8768,1,Gl 79,6106,,Gl 79,,11507,,,K5/M0V,11.1,-2.7,-0.9,-10.7,8.675310348
431,21556,1,BD-11°916,15205,,Gl 173,BD-11°916,,,,M1,11.1,-8.1,-4.2,-6.3,10.13675479
432,42808,,Gl 320,31578,,Gl 320,,74576,,,K2V,11.1,-2,-10.9,0.4,6.325898005
433,57632,,Denebola,42525,94 Beta Leonis,Gl 448,,102647,4534,Denebola,A3Vvar,11.1,-1.2,-3.4,10.5,1.915069515
434,70975,,Gl 553.1,51473,,Gl 553.1,,,,,M4,11.1,7.4,-3.1,7.7,11.68541422
435,78072,,41 Gamma Serpentis,56242,41 Gamma Serpentis,Gl 603,,142860,5933,,F6V,11.1,6.9,3.6,8,3.619281491
436,83599,,Gl 654,60148,,Gl 654,,,,,M0V,11.1,10,2.8,4,9.843962215
437,88972,1,BD+38°3095,64087,,Gl 706,BD+38°3095,166620,6806,,K2V,11.1,4.2,9.2,4.5,6.173864948
438,93101,1,BD+05°3993,67204,,Gl 740,BD+05°3993,176029,,,M2V,11.1,8.6,7,0.2,8.991695043
439,0,,Gl 107 B,85984,,Gl 107 B,,,-,,M1 V,11.2,-8.6,6.9,-1.9,9.807681867
440,0,,Gl 356 B,86461,,Gl 356 B,,,-,,,11.2,-7.4,-1.1,8.3,12.75790172
441,0,,Gl 505 B,86718,,Gl 505 B,,,-,,M1 V,11.2,2.1,-1,11,9.348657262
442,0,,Gl 537,86784,,Gl 537,,,-,,dM3 e,11.2,-0.1,4.5,10.3,9.59938852
443,0,,Gl 537 B,86785,,Gl 537 B,,,-,,dM3 e,11.2,-0.1,4.5,10.3,9.69938852
444,0,,GJ 1187,86842,,GJ 1187,,,-,,m,11.2,-0.5,6.7,8.9,15.28668759
445,0,,NN 3967,86948,,NN 3967,,,-,,m,11.2,9.3,2.9,5.5,13.44425729
446,0,,NN 4065,87075,,NN 4065,,,-,,M3.5,11.2,8,7.6,1.8,12.20695003
447,0,,Gl 754.1B,87130,,Gl 754.1B,,,-,,dM5,11.2,9.6,5.4,-1.9,11.86890104
448,12777,,13 Theta Persei,8956,13 Theta Persei,Gl 107,,16895,799,,F7V,11.2,-8.6,6.9,-1.9,3.877681867
449,22738,,GJ 2036,16063,,GJ 2036,,,,,M2Ve,11.2,-0.9,-8.7,-7,10.88838719
450,47080,,11 Leonis Minoris,34895,11 Leonis Minoris,Gl 356,,82885,3815,,G8IV-V,11.2,-7.4,-1.1,8.3,5.167901725
451,48331,1,Gl 370,35845,,Gl 370,,85512,,,K5V,11.2,0.3,-11,1.6,7.403235849
452,64797,,Gl 505,47309,,Gl 505,,115404,,,K2V,11.2,2.1,-1,11,6.338657262
453,95071,,Gl 754.1,68722,,Gl 754.1,,,,,DAw...,11.2,9.6,5.4,-1.9,12.02890104
454,0,,Gl 325,86393,,Gl 325,,75632,-,,K5 V,11.3,-7.4,5.5,6.6,8.432261325
455,0,,Gl 325 B,86394,,Gl 325 B,,,-,,K6 V,11.3,-7.4,5.5,6.6,8.632261325
456,8051,1,Gl 70,5633,,Gl 70,,,,,M2V:,11.3,-5.2,3.4,-9.3,10.67353154
457,67927,,8 Eta Boötis,49456,8 Eta Boötis,Gl 534,,121370,5235,,G0IV,11.3,3.3,0.3,10.8,2.406604204
458,69673,,Arcturus,50628,16 Alpha Boötis,Gl 541,,124897,5340,Arcturus,K2IIIp,11.3,3.9,1,10.5,-0.356712839
459,91699,1,NN 4070,66133,,NN 4070,,,,,M4,11.3,5.3,9.6,3.1,10.99586523
460,0,,NN 3149 B,85944,,NN 3149 B,,,-,,M4,11.4,-2.4,-2.8,-10.7,12.72241336
461,0,,NN 4048,87053,,NN 4048,,,-,,m,11.4,4.2,9.6,4.4,11.59241336
462,0,,NN 4049 B,87054,,NN 4049 B,,,-,,m,11.4,4.2,9.6,4.4,13.25241336
463,26335,1,BD+11°878,18704,,Gl 208,BD+11°878,245409,,,K7,11.4,-10.8,-2.7,-2.2,8.519944375
464,29052,1,Hip 29052,20798,,,,,,,,11.4,-6.6,-8.4,-4,11.58351184
465,36626,,Gl 277 B,26754,,Gl 277 B,,,,,M3.5Ve,11.4,-10.5,-0.5,4.5,11.4927684
466,47513,1,Gl 361,35230,,Gl 361,,,,,M2,11.4,-6.3,-5.4,7.8,10.09389341
467,63510,,Gl 494,46473,,Gl 494,,,,,M2,11.4,2,-2.2,11,9.460040265
468,67164,1,NN 3804,48941,,NN 3804,,,,,M:,11.4,6.5,-5.3,7.8,11.57574065
469,75187,,Wo 9520,54312,,Wo 9520,,,,,M9,11.4,5.6,3.4,9.4,9.827225245
470,97241,,NN 4122,70369,,NN 4122,,,,,,11.4,4.3,10.5,0.8,10.57177675
471,109555,1,Gl 851,79645,,Gl 851,,,,,M2,11.4,2,9.7,-5.8,9.928054011
472,116745,1,Gl 902,84642,,Gl 902,,222237,,,K3V,11.4,5.3,-6.3,-7.8,6.785493115
473,0,,NN 3500,86363,,NN 3500,,,-,,M3,11.5,-1.5,-11.4,-0.8,11.54759626
474,0,,Gl 317,86379,,Gl 317,,,-,,m,11.5,-4.4,-10.4,2.2,11.67759626
475,0,,NN 3550,86442,,NN 3550,,,-,,m,11.5,-7,6,6.8,14.71759626
476,0,,NN 3966,86943,,NN 3966,,,-,,m,11.5,4.7,7.2,7.7,12.64759626
477,428,1,BD+44°4548,317,,Gl 2,BD+44°4548,,,,M2,11.5,-4.6,10,-3.2,9.627097017
478,11964,,Gl 103,8368,,Gl 103,,16157,,,K7V comp SB,11.5,-1,-5,-10.3,8.544349108
479,13389,1,Gl 118,9384,,Gl 118,,,,,M,11.5,1.7,-7.4,-8.6,11.07534875
480,20917,1,BD+21°652,14734,,Gl 169,BD+21°652,28343,,,K7V,11.5,-10.9,0.9,-3.6,7.97183523
481,23708,1,GJ 1075,16767,,GJ 1075,,,,,K7V,11.5,-0.6,-9.2,-6.9,8.711597717
482,36627,1,Gl 277,26753,,Gl 277,,,,,M4,11.5,-10.5,-0.5,4.5,10.28133696
483,36834,,Gl 277.1,26906,,Gl 277.1,,,,,M0,11.5,-9,4.5,5.5,10.18784584
484,47650,1,Gl 362,35337,,Gl 362,,,,,M4,11.5,-7,5.5,7.3,10.90984501
485,48659,1,Hip 48659,36073,,,,,,,,11.5,-1.6,-10.6,4.1,11.74407604
486,72848,,Gl 567,52712,,Gl 567,,131511,5553,,K2V,11.5,5.1,2.2,10.1,5.709845015
487,0,,Gl 12,85773,,Gl 12,,,-,,dM3.5,11.6,-2.6,7.2,-8.7,12.26005398
488,0,,NN 3039,85798,,NN 3039,,,-,,m,11.6,-2.8,6,-9.5,12.37249226
489,0,,NN 3442,86298,,NN 3442,,,-,,k-m,11.6,-6.9,-9.4,-0.1,13.32249226
490,0,,Gl 275.2,86299,,Gl 275.2,,,-,,sdM5,11.6,-10.2,1.8,5.1,13.24508054
491,0,,Gl 275.2B,86300,,Gl 275.2B,,,-,,DC,11.6,-10.2,1.8,5.1,14.31508054
492,0,,Gl 540.2,86790,,Gl 540.2,,,-,,dM5.5e,11.6,7.1,-3.7,8.4,13.53249226
493,0,,NN 3873,86836,,NN 3873,,,-,,M3.5,11.6,2.8,4.6,10.3,11.98249226
494,0,,Gl 772,87167,,Gl 772,,,-,,DA6,11.6,8.7,7.1,-3,13.37501576
495,92871,,Gl 735,67026,,Gl 735,,,,,M2Ve,11.6,8.8,7.6,0.6,9.78929899
496,0,,GJ 1234,87129,,GJ 1234,,,-,,DC7,11.7,3.8,10.8,2.4,14.23236882
497,23693,,Zeta Doradus,16758,Zeta Doradus,Gl 189,,33262,1674,,F7V,11.7,-0.6,-9.3,-7,4.378195563
498,47620,,Gl 360,35316,,Gl 360,,,,,M3,11.7,-7.1,5.6,7.5,10.22066823
499,53985,1,BD+22°2302,39971,,Gl 410,BD+22°2302,95650,,,K,11.7,-3.9,-3.1,10.5,9.266423862
500,73470,1,BD+45°2247,53150,,Gl 572,BD+45°2247,,,,M0,11.7,1.4,6,10,8.789322567
501,0,,Gl 4 B,85760,,Gl 4 B,,,-,,M0.5 V,11.8,-4.7,10.3,-3.3,8.6696478
502,0,,GJ 2020,85844,,GJ 2020,,6088,-,,F0 V,11.8,-0.5,-0.1,-11.8,9.394538451
503,0,,NN 3266,86094,,NN 3266,,,-,,m,11.8,-9.2,7.1,2,13.34428354
504,0,,29 Gamma Virginis,86675,29 Gamma Virginis,Gl 482 B,,110380,4826,,F0 V,11.8,2.7,-5,10.4,3.155054345
505,0,,Gl 585,86865,,Gl 585,,,-,,M4,11.8,6.3,3,9.5,13.3296478
506,473,,Gl 4,351,,Gl 4,,38,,,K2,11.8,-4.7,10.2,-3.3,8.6196478
507,21000,,Hip 21000,14791,,,,,,,F8+...,11.8,-10.3,-1.8,-5.5,9.47095474
508,61941,,29 Gamma Virginis,45451,29 Gamma Virginis,Gl 482,,110379,4825,,F0V+...,11.8,2.7,-5,10.4,3.095054345
509,69454,1,Hip 69454,50470,,,,,,,M2V:,11.8,8.1,-8.4,0.9,9.847605503
510,69972,,Gl 542,50830,,Gl 542,,125072,,,K3V,11.8,8.2,-8.5,0.3,6.294283545
511,77257,,27 Lambda Serpentis,55707,27 Lambda Serpentis,Gl 598,,141004,5868,,G0Vvar,11.8,8.1,2.3,8.2,4.079137406
512,98679,,Gl 773.6,71476,,Gl 773.6,,189484,,,K5V...,11.8,9.9,-1.9,-6.2,8.300698534
513,98681,,Hip 98681,71478,,,,,,,,11.8,9.9,-1.9,-6.2,9.560698534
514,107556,,49 Delta Capricorni,78188,49 Delta Capricorni,Gl 837,,207098,8322,,A5mF2 (IV),11.8,6.5,5,-8.5,2.506338404
515,109176,1,24 Iota Pegasi,79360,24 Iota Pegasi,Gl 848,BD+24°4533,210027,8430,,F5V,11.8,1.4,10.6,-4.8,3.408626892
516,0,,GJ 1055,86011,,GJ 1055,,,-,,m,11.9,-8.9,1.6,-7.6,14.47656046
517,0,,Gl 403,86545,,Gl 403,,,-,,dM3,11.9,-3.7,-4.8,10.3,12.28362729
518,0,,Gl 414 B,86563,,Gl 414 B,,,-,,M2 V,11.9,-4.3,-1.4,11,9.597515335
519,0,,NN 3954,86926,,NN 3954,,,-,,m,11.9,11.1,-0.2,4.3,13.92139643
520,0,,NN 4106,87127,,NN 4106,,,-,,M2,11.9,10.3,-3,-5.2,10.44139643
521,0,,GJ 1243,87160,,GJ 1243,,,-,,m,11.9,1.9,11.6,2.1,12.4488098
522,0,,Wo 9780,87351,,Wo 9780,,,-,,M3.5,11.9,6.7,-1.6,-9.7,12.13139643
523,11048,1,BD+47°612,7717,,Gl 96,BD+47°612,,,,M2,11.9,-8.7,7.7,-2.5,9.029586116
524,54646,,Gl 414,40456,,Gl 414,,97101,,,K8V,11.9,-4.3,-1.4,11,7.947515335
525,108569,1,Gl 842,78918,,Gl 842,,,,,M2,11.9,7.3,-3.8,-8.6,9.378107274
526,0,,NN 3331,86171,,NN 3331,,,-,,M2,12,-7.5,-6.9,-6.4,9.885390462
527,0,,NN 3332 B,86172,,NN 3332 B,,,-,,M3:,12,-7.5,-6.9,-6.4,11.25539046
528,0,,GJ 1140,86551,,GJ 1140,,,-,,DA6,12,-1.4,-8.3,8.6,13.91322501
529,0,,GJ 2092,86653,,GJ 2092,,,-,,DA/F,12,6.1,-10.4,-0.7,13.56539046
530,0,,NN 3727,86655,,NN 3727,,,-,,M2,12,3,-6.8,9.5,10.55539046
531,0,,NN 3728 B,86656,,NN 3728 B,,,-,,g,12,3,-6.8,9.5,10.59539046
532,0,,GJ 1179,86762,,GJ 1179,,,-,,dM4 :,12,2.6,1,11.7,14.92583025
533,0,,GJ 1179 B,86763,,GJ 1179 B,,,-,,DC9,12,2.6,1,11.7,15.25583025
534,0,,Gl 669 B,86992,,Gl 669 B,,,-,,dM5 e,12,6.8,7.8,6.2,12.56565207
535,0,,GJ 1223,87043,,GJ 1223,,,-,,m,12,4.8,9.7,5.1,14.45843238
536,3937,,NN 3060,2743,,NN 3060,,,,,,12,-5.1,8,-7.4,12.30061663
537,9291,,Gl 82,6467,,Gl 82,,,,,M4Ve,12,-8,9,-0.7,11.81061663
538,84099,,NN 3992,60502,,NN 3992,,,,,,12,4.5,8.7,6.9,11.2087889
539,84794,,Gl 669,61006,,Gl 669,,,,,M4,12,6.8,7.8,6.2,11.01565207
540,0,,GJ 1053,86010,,GJ 1053,,,-,,sdM6,12.1,-7.9,8.7,2.8,14.23277265
541,15330,,Zeta 1 Reticuli,10769,Zeta 1 Reticuli,Gl 136,,20766,1006,,G2V,12.1,1.3,-8.1,-8.9,5.122532936
542,15371,,Zeta 2 Reticuli,10799,Zeta 2 Reticuli,Gl 138,,20807,1010,,G1V,12.1,1.3,-8.1,-8.9,4.829889413
543,22627,1,Gl 179,15982,,Gl 179,,,,,M4,12.1,-10.9,-2.4,-4.7,11.5627961
544,80686,,Zeta Trianguli Australis,58045,Zeta Trianguli Australis,Gl 624,,147584,6098,,F9V,12.1,8.9,-7.6,-3,4.495163111
545,102186,1,Gl 798,74157,,Gl 798,,196877,,,K7V,12.1,9.3,-2.4,-7.4,8.404111423
546,104432,,Gl 821,75842,,Gl 821,,,,,M3,12.1,7.9,5.8,-7.2,10.44779058
547,0,,NN 3435,86288,,NN 3435,,,-,,DA4,12.2,-10.2,4,5.4,11.56906926
548,0,,NN 3518,86398,,NN 3518,,,-,,m,12.2,-4.2,-11.1,2.9,13.56906926
549,0,,NN 3533,86420,,NN 3533,,,-,,k-m,12.2,-4.1,-10.9,3.5,13.86906926
550,0,,Gl 359,86464,,Gl 359,,,-,,M4,12.2,-7.3,-4,8.8,13.80435909
551,0,,NN 3647,86565,,NN 3647,,,-,,dM4,12.2,-4.6,-0.8,11.3,11.94906926
552,0,,NN 3800,86754,,NN 3800,,,-,,m,12.2,6.6,-5.5,8.6,13.06906926
553,0,,GJ 1263,87292,,GJ 1263,,,-,,M3.5,12.2,5.3,8,-7.5,12.21376652
554,0,,GJ 1288,87446,,GJ 1288,,,-,,m,12.2,-2.9,10.2,-6.1,13.92641951
555,26779,,Gl 211,19056,,Gl 211,,37394,1925,,K1V,12.2,-11.1,4.4,2.5,5.79084448
556,41926,1,Gl 309,30877,,Gl 309,,72673,3384,,K0V,12.2,-3.7,-11.6,1.1,5.963037839
557,0,,NN 3052,85817,,NN 3052,,,-,,m,12.3,-3.7,6.3,-10,13.34242509
558,0,,Gl 64,85890,,Gl 64,,,-,,DA7,12.3,-4.5,2.4,-11.2,12.39312202
559,0,,NN 3263,86090,,NN 3263,,,-,,M3.5,12.3,-6.5,-5.6,-8.9,11.94242509
560,0,,NN 3285,86119,,NN 3285,,,-,,DC8,12.3,-11.2,-0.6,-5.2,15.04242509
561,0,,NN 3333,86173,,NN 3333,,,-,,k,12.3,-12,-0.9,-2.8,11.32242509
562,0,,NN 3567,86472,,NN 3567,,,-,,M2,12.3,-7.8,4,8.7,12.27242509
563,0,,Gl 590,86874,,Gl 590,,,-,,M4,12.3,10.8,-4.9,3,12.35845079
564,0,,NN 4004,86996,,NN 4004,,,-,,m,12.3,7.7,-8.3,-4.9,11.64242509
565,0,,NN 4098,87114,,NN 4098,,,-,,m,12.3,5.4,10.9,2.3,11.34242509
566,0,,NN 4201,87273,,NN 4201,,,-,,m,12.3,2.9,11.3,-4.1,12.20242509
567,0,,NN 4350,87435,,NN 4350,,,-,,M4,12.3,3.9,-0.2,-11.7,13.26242509
568,35191,1,BD+27°1348,25654,,Gl 268.3,BD+27°1348,,,,,12.3,-11.6,-2.2,3.6,10.3937651
569,49969,1,Gl 381,37043,,Gl 381,,,,,M0,12.3,-4,-8.3,8.1,10.17858227
570,77952,,Beta Trianguli Australis,56159,Beta Trianguli Australis,Gl 601,,141891,5897,,F2III,12.3,9.6,-7.5,-1.6,2.388849574
571,84790,1,Gl 671,61002,,Gl 671,,,,,M4,12.3,4,9.4,6.9,10.91188886
572,0,,NN 3356,86203,,NN 3356,,,-,,M3.5,12.4,-12,-2.4,-2.2,11.34436767
573,0,,Gl 914 B,87474,,Gl 914 B,,,-,,K6 V,12.4,-3.4,9.6,-7,8.532483299
574,171,,85 Pegasi,127,85 Pegasi,Gl 914,,224930,9088,,G3V,12.4,-3.4,9.6,-7,5.342483299
575,10395,,Gl 91,7241,,Gl 91,,,,,,12.4,-2.4,-3.2,-11.7,9.856788041
576,22762,1,Gl 180,16075,,Gl 180,,,,,M3,12.4,-8.2,-6.2,-6.9,10.43947418
577,0,,NN 3028,85784,,NN 3028,,,-,,M6,12.5,-4.7,9.8,-6.1,15.5627339
578,0,,NN 3250,86078,,NN 3250,,,-,,k-m,12.5,-10.4,0.2,-7.1,14.01729161
579,0,,GJ 1068,86096,,GJ 1068,,,-,,pec,12.5,-1.1,-8.8,-8.9,13.09544993
580,0,,GJ 1101,86321,,GJ 1101,,,-,,m,12.5,-7.1,8.4,6,12.60816258
581,0,,NN 3466,86331,,NN 3466,,,-,,M4,12.5,-5.1,-11.4,-0.1,12.89544993
582,0,,NN 3497,86360,,NN 3497,,,-,,dM5.2,12.5,-8.7,5.8,6.9,15.1827339
583,0,,Gl 324 B,86392,,Gl 324 B,,,-,,M3.5,12.5,-9.5,-2.9,7.7,12.65001446
584,0,,NN 3543,86434,,NN 3543,,,-,,M2,12.5,-4.3,-10.9,4.4,10.26544993
585,0,,Gl 843,87317,,Gl 843,,,-,,M3,12.5,6.5,4.5,-9.6,11.54816258
586,26801,,Gl 212,19073,,Gl 212,,233153,,,M1,12.5,-11.4,4.5,2.6,9.268975714
587,43587,1,55 Rho 1 Cancri,32189,55 Rho 1 Cancri,Gl 324,BD+28°1660,75732,3522,,G8V,12.5,-9.5,-2.9,7.7,5.460014457
588,51007,1,BD-09°3070,37823,,Gl 390,BD-09°3070,,,,M0,12.5,-2.6,-9.4,7.8,9.687349143
589,55042,,Hip 55042,40743,,,,304043,,,M,12.5,4.4,-11.7,0.7,11.16756405
590,56998,1,Gl 435,42094,,Gl 435,,101581,,,K5V,12.5,4.1,-11.3,3.6,7.283005653
591,102401,1,Gl 806,74316,,Gl 806,,,,,M3,12.5,1.3,12.4,0.2,10.28572135
592,0,,Gl 26,85807,,Gl 26,,,-,,dM4,12.6,-5.3,9.2,-6.7,10.56183564
593,0,,GJ 1029,85851,,GJ 1029,,,-,,m,12.6,-6.2,8.3,-7.1,14.30456534
594,0,,Gl 737 B,87100,,Gl 737 B,,,-,,K5 V,12.6,11,-3.9,-4.9,9.49198023
595,0,,Gl 836.5,87284,,Gl 836.5,,,-,,DQ6,12.6,3.1,11.1,-5,12.74456534
596,7918,1,BD+41°328,5533,,Gl 67,BD+41°328,10307,483,,G2V,12.6,-8.1,8.8,-4.2,4.440607878
597,16134,,Gl 142,11315,,Gl 142,,21531,,,K5V,12.6,-6.5,-3.7,-10.1,7.88527034
598,24813,,15 Lambda Aurigae,17568,15 Lambda Aurigae,Gl 197,,34411,1729,,G0V,12.6,-12.4,2.7,0.3,4.200333303
599,36338,1,GJ 1097,26532,,GJ 1097,,,,,,12.6,-9.5,-8,1.5,10.9359289
600,40693,1,BD-12°2449,29923,,Gl 302,BD-12°2449,69830,3259,,K0V,12.6,-7.1,-10,2.8,5.471289292
601,84051,1,Hip 84051,60470,,,,,,,,12.6,11.4,-4.9,-1.7,9.552654912
602,93069,1,Gl 737,67182,,Gl 737,,175224,,,M2V,12.6,11,-3.9,-4.9,8.94198023
603,0,,NN 3112,85900,,NN 3112,,,-,,DA7,12.7,3.6,-7.5,-9.6,13.36813546
604,0,,NN 3292,86127,,NN 3292,,,-,,m,12.7,-11.7,-0.4,-4.9,12.98813546
605,0,,NN 3357,86205,,NN 3357,,,-,,M4,12.7,-10.2,-6.2,-4.4,12.28813546
606,0,,Gl 261,86278,,Gl 261,,,-,,DA,12.7,-9.7,-8.1,-0.1,14.75813546
607,0,,NN 3780,86725,,NN 3780,,,-,,m,12.7,6.8,-7.6,7.5,12.38813546
608,0,,GJ 1215,86988,,GJ 1215,,,-,,m,12.7,9.6,6.2,5.6,14.58263109
609,0,,NN 4062,87070,,NN 4062,,,-,,m,12.7,4.2,11.1,4.5,11.47813546
610,0,,GJ 1248,87176,,GJ 1248,,,-,,k-m,12.7,8.4,9,-2.9,11.57538502
611,0,,NN 4154,87211,,NN 4154,,,-,,m,12.7,7.2,-8.2,-6.5,10.98813546
612,0,,Gl 810,87230,,Gl 810,,,-,,M3.5 J,12.7,8.8,5.9,-7,11.93538502
613,0,,Gl 810 B,87231,,Gl 810 B,,,-,,,12.7,8.8,5.9,-7,14.03538502
614,10798,,Gl 95,7533,,Gl 95,,14412,683,,G8V,12.7,-3.5,-2.4,-11.9,5.82483451
615,24284,,Gl 192,17197,,Gl 192,,,,,M5,12.7,-12.5,-0.8,-2.5,10.23434828
616,46580,1,BD+06°2182,34524,,Gl 349,BD+06°2182,82106,,,K3V,12.7,-6.8,-7.4,7.7,6.684559204
617,91430,,GJ 2138,65930,,GJ 2138,,,,,M1V:,12.7,12,4.1,-0.8,10.73490145
618,0,,GJ 2045,86209,,GJ 2045,,,-,,m,12.8,-10.6,-6.1,-3.9,14.74325517
619,0,,NN 3668,86590,,NN 3668,,,-,,m,12.8,0.9,-9.2,8.8,13.75047301
620,0,,Gl 575 B,86846,,Gl 575 B,,,-,,dG2,12.8,1.2,6.8,10.7,5.431303322
621,0,,GJ 1210,86975,,GJ 1210,,,-,,m,12.8,10.2,5.3,5.7,13.47047301
622,0,,GJ 1218,86998,,GJ 1218,,,-,,m,12.8,10.7,-6.3,-3.3,12.14047301
623,0,,NN 4054,87060,,NN 4054,,,-,,DC:9,12.8,-0.1,11.4,5.8,15.11325517
624,0,,NN 4326,87415,,NN 4326,,,-,,M4,12.8,-0.8,10.1,-7.9,11.56047301
625,0,,NN 4387,87473,,NN 4387,,,-,,M4,12.8,2.9,-0.1,-12.5,12.26047301
626,25953,,Gl 206,18404,,Gl 206,,,,,M4Ve,12.8,-12,-3.2,-2.8,10.98880881
